id,imageId,question,gold_answer,cclm_answer,xgqa_type,fullAnswer
201307251,n161313,날이 흐린가요?,no,clear,verify,"No, it is clear."
201303229,n518912,사진 하단에 있는 의자의 높이는 얼마입니까?,short,tall,query,The chair is short.
201902997,n435808,책상 위에는 어떤 장치가 있습니까?,keyboard,computer mouse,query,The device is a keyboard.
20567512,n414992,위에 날고 있는 비행기는 무엇입니까?,ocean,jet,query,The plane is flying above the ocean.
20136592,n446242,바지는 무슨 색이에요?,red,white,query,The pants are red.
20602803,n168412,"바탕이 파란색입니까, 갈색입니까?",brown,yes,choose,The ground is brown.
201079951,n23181,열린 창 주위에 무엇이 있습니까?,drapes,frame,query,The draperies are around the window.
201079952,n23181,창문 주변에 무엇이 있습니까?,drapes,frame,query,The draperies are around the window.
20982537,n52544,누가 테이블에 서 있습니까?,woman,woman,query,The woman is standing at the table.
201079958,n23181,침대 오른쪽에 커튼이 있습니까?,yes,yes,verify,"Yes, there are drapes to the right of the bed."
202218649,n578564,칠판 위에 무엇이 걸려 있습니까?,picture,picture,query,The picture is hanging above the chalkboard.
20609782,n437064,케이크가 접시에 있습니까?,no,no,verify,"No, the cake is on a plate."
201757757,n4777,컵 오른쪽에 있는 사람이 청바지를 입고 있습니까?,yes,yes,verify,"Yes, the person is wearing jeans."
201902993,n435808,마우스 패드 옆에 어떤 장치가 있습니까?,keyboard,computer,query,The device is a keyboard.
20306193,n554880,스웨터가 성기고 파란색으로 보입니까?,yes,no,logical,"Yes, the sweater is open and blue."
20183468,n151768,재킷이 긴팔이고 검은색인가요?,yes,black,logical,"Yes, the jacket is long sleeved and black."
20753400,n49438,작은 콘센트 옆에 침대가 있습니까?,yes,yes,verify,"Yes, there is a bed next to the outlet."
20151723,n313060,사진의 어느 쪽에 가죽 가방이 있습니까?,right,yes,query,The purse is on the right of the image.
202218839,n578564,후크에 매달린 조리 도구의 이름은 무엇입니까?,pan,coffee pot,query,The cooking utensil is a pan.
20982539,n52544,마른 사람은 어디에 서 있습니까?,table,table,query,The woman is standing at the table.
201110833,n546616,접시가 오토만 위에 있습니까?,no,yes,verify,"No, the plates are on top of the table."
20866249,n579256,벽 근처의 냉동실이 작은가요 큰가요?,large,no,choose,The fridge is large.
201110525,n546616,여자 위에 앉아 있는 아기의 왼쪽에는 어떤 종류의 음식이 있습니까?,marshmallow,dessert,query,The food is a marshmallow.
201497576,n315887,전화기와 커피잔이 같은 색입니까?,yes,no,compare,"Yes, both the phone and the coffee cup are black."
20866242,n579256,사진에 작은 냉장고나 전자레인지가 있습니까?,no,no,logical,"No, there is a refrigerator but it is large."
201079954,n23181,커튼은 무엇 주변에 있습니까?,window,bed,query,The draperies are around the window.
201548894,n314171,사진은 어느 쪽에 있습니까?,left,restaurant,query,The picture is on the left of the image.
201573912,n115614,상점 앞 횡단보도는 어떤 재질입니까?,concrete,no,query,The crosswalk is made of cement.
202243820,n296467,컵케이크에 뿌려진 설탕 가루는 얼마나 큽니까?,small,large,query,The sprinkles are small.
201573918,n115614,가로등 근처의 횡단보도는 어떤 재료로 만들어졌습니까?,concrete,metal,query,The crosswalk is made of cement.
201974972,n274905,어떤 종류의 옷이 분홍색입니까?,tank top,outfit,query,The clothing is a tank top.
201974971,n274905,분홍색 의류는 어떻게 부르나요?,tank top,shirt,query,The clothing item is a tank top.
201974976,n274905,어떤 종류의 옷이 분홍색이 아닌가?,hat,outfit,query,The clothing is a hat.
201996743,n250715,이 헬리콥터가 켜져 있거나 꺼져 있습니까?,off,yes,choose,The helicopter is off.
20797666,n16656,고양이가 보이나요?,yes,yes,verify,"Yes, there is a cat."
20797665,n16656,개 뒤에 있는 것이 신발인가요?,no,no,verify,"No, the shoe is behind a cat."
201974979,n274905,민소매는 어떤 옷인가요?,tank top,outfit,query,The clothing is a tank top.
201156138,n146522,들판이 부드럽고 눈이 내리나요?,no,no,logical,"No, the field is soft but grassy."
201765651,n488874,셔츠는 어떤 색입니까?,white,blue,query,The shirt is white.
2046473,n71728,행복한 남자가 중앙에 있는 여자의 왼쪽이나 오른쪽에 있습니까?,right,left,choose,The man is to the right of the woman.
20618932,n126087,누가 팔찌를 착용하고 있습니까?,woman,girl,query,The woman is wearing a wristband.
201902515,n435808,라우터는 어느 쪽에 있습니까?,left,floor,query,The router is on the left of the image.
201303404,n518912,바지는 무슨 색입니까?,gray,green,query,The pants are gray.
20942157,n137182,누가 셔츠를 입고 있습니까?,girl,woman,query,The girl is wearing a shirt.
20942156,n137182,누가 셔츠를 입고 있습니까?,girl,woman,query,The girl is wearing a shirt.
20898685,n243701,저 남자는 뭐 하는 거야?,standing,walking,query,The man is standing.
202116974,n48494,잔잔하지 않은 강이나 바다가 있습니까?,no,no,logical,"No, there is a river but it is calm."
202244099,n296467,어떤 음식이 구워지지 않습니까?,cookies,tomatoes,query,The food is cookies.
201951771,n256120,깃발 앞에 어떤 차량이 있습니까?,van,van,query,The vehicle is a van.
201951770,n256120,깃발 앞에 있는 차량은 무엇입니까?,van,van,query,The vehicle is a van.
201951776,n256120,밴이 풍선 앞에 있습니까?,no,yes,verify,"No, the van is in front of a flag."
201623784,n501609,스토브 아래의 캐비닛이 나무이고 열려 있습니까?,no,yes,logical,"No, the cabinets are wooden but closed."
202023424,n95313,격자 무늬의 가구는 어떻게 불리나요?,bed,bed,query,The piece of furniture is a bed.
20182936,n151768,남자의 오른쪽에 있는 상자가 가득 차 있고 네모납니까?,yes,no,logical,"Yes, the boxes are full and square."
201654344,n6309,다른 말 옆에 있는 말은 새끼이면서 갈색입니까?,no,yes,logical,"No, the horse is brown but adult."
20746468,n477215,강이 넓습니까 아니면 좁습니까?,narrow,narrow,choose,The river is narrow.
201428996,n64959,냉장고보다 작거나 크기가 같은 기기는 무엇입니까?,stove,small,query,The fridge is bigger than the stove.
202244009,n296467,콩 오른쪽에 있는 그릇 안에 무엇이 있습니까?,cookies,carrot,query,The cookies are inside the bowl.
20287556,n317260,포수가 쓰고 있는 안면 마스크가 얼마나 깨끗하다고 ​​생각하세요?,clean,tinted,query,The face mask is clean.
20631973,n570181,포수가 어디에 서 있습니까?,field,field,query,The catcher is standing on the field.
20287551,n317260,장갑은 무슨 색입니까?,black,black,query,The glove is black.
201481824,n470920,담요가 부드럽고 하얗게 보입니까?,yes,yes,logical,"Yes, the blanket is soft and white."
201663656,n35676,서랍은 무슨 색인가요?,light brown,black,query,The drawers are light brown.
20308576,n278312,스토브 왼쪽에 냉장고가 있습니까?,yes,yes,verify,"Yes, there is a refrigerator to the left of the stove."
201065067,n88933,어떤 옷이 밝은가요?,gown,dress,query,The clothing is a gown.
20462070,n571179,코트를 입은 사람 근처에 코끼리가 있습니까?,no,no,verify,"No, there is a woman near the man."
20462076,n571179,여자는 무엇을 입고 있습니까?,gloves,hat,query,The woman is wearing gloves.
20462075,n571179,남자 근처에 서 있는 사람은 무엇을 입고 있다고 생각합니까?,gloves,hat,query,The woman is wearing gloves.
201065062,n88933,어떤 종류의 옷이 분홍색입니까?,gown,dress,query,The clothing is a gown.
20754631,n566028,꼭대기에 앉아 있는 사람은 어떤 사람입니까?,stairs,boy,query,The person is sitting atop the stairs.
201935960,n500209,바닥에 무엇이 있습니까?,shelf,mat,query,The shelf is standing on the floor.
20412222,n531359,소년의 왼쪽에 있는 가구는 무엇입니까?,tables,dresser,query,The pieces of furniture are tables.
201935966,n500209,낮지 않은 벽 앞에 무엇이 있습니까?,shelf,bookshelf,query,The shelf is in front of the wall.
20878946,n259949,시멘트로 만든 주차장은 얼마나 넓습니까?,wide,narrow,query,The parking lot is wide.
201498767,n315887,평면 컴퓨터 앞에 있는 장치는 무엇입니까?,phone,ipod,query,The device is a phone.
20306764,n554880,바닥에 무엇이 앉아 있습니까?,gift,snow,query,The gift is sitting on the floor.
202144708,n37274,노란색 음료 오른쪽에 믹서기가 있습니까?,yes,yes,verify,"Yes, there is a blender to the right of the liquor."
20306767,n554880,선물이 바닥에 놓여 있습니까?,yes,no,verify,"Yes, the gift is sitting on the floor."
201996815,n250715,"둥근 유리, 유리 또는 와이어를 구성하는 재료는 무엇입니까?",glass,glass,choose,The glasses are made of glass.
201996813,n250715,안경은 무엇으로 만들어졌나요?,glass,plastic,query,The glasses are made of glass.
202060122,n14087,어떤 동물 뒤에 소파가 있나요?,dog,yes,query,The couch is behind the dog.
201067797,n367944,사진 왼쪽에 있는 장치의 색상은 무엇입니까?,black,silver,query,The calculator is black.
20394919,n369313,칼은 남자의 오른쪽에 있습니까?,no,no,verify,"No, the knife is to the left of a man."
201497916,n315887,키보드 위에 어떤 장치가 있습니까?,monitor,computer mouse,query,The device is a monitor.
20303081,n318684,안경 왼쪽에 있는 남자는 무엇을 하고 있습니까?,resting,sitting,query,The man is resting.
201498727,n315887,전화는 무엇으로 만들어졌습니까?,plastic,plastic,query,The telephone is made of plastic.
201873473,n309148,빨간 소방차가 있습니까?,no,no,verify,"No, there is a fire truck but it is white."
201504960,n298104,반바지가 크고 파란색인가요?,no,pink,logical,"No, the shorts are blue but small."
20177575,n55058,직사각형 모양의 서빙 트레이는 어떤 색입니까?,white,brown,query,The serving tray is white.
