id,imageId,question,gold_answer,cclm_answer,xgqa_type,fullAnswer
201307251,n161313,Apakah langit mendung ?,no,no,verify,"No, it is clear."
201303229,n518912,Berapa tinggi kursi yang terdapat di bagian bawah foto itu,short,tall,query,The chair is short.
201902997,n435808,Perangkat seperti apa yang ada di atas meja?,keyboard,computer mouse,query,The device is a keyboard.
20567512,n414992,Pesawat apa yang sedang terbang di atas?,ocean,airplane,query,The plane is flying above the ocean.
20136592,n446242,Apa warna celana-celana itu ?,red,red,query,The pants are red.
20602803,n168412,Apakah tanah tersebut berwarna biru atau coklat?,brown,brown,choose,The ground is brown.
201079951,n23181,Ada apa di sekitar jendela yang terbuka?,drapes,frame,query,The draperies are around the window.
201079952,n23181,Ada apa di sekitar jendela?,drapes,frame,query,The draperies are around the window.
20982537,n52544,Siapa yang sedang berdiri di meja?,woman,woman,query,The woman is standing at the table.
201079958,n23181,Apakah terdapat tirai di sebelah kanan tempat tidur?,yes,yes,verify,"Yes, there are drapes to the right of the bed."
202218649,n578564,Apa yang tergantung di atas papan tulis?,picture,picture,query,The picture is hanging above the chalkboard.
20609782,n437064,Apakah kuenya terdapat di atas piring?,no,yes,verify,"No, the cake is on a plate."
201757757,n4777,Apakah orang yang di sebelah kanan cangkir mengenakan jeans?,yes,yes,verify,"Yes, the person is wearing jeans."
201902993,n435808,Perangkat apa yang terdapat di sebelah alas tetikus?,keyboard,keyboard,query,The device is a keyboard.
20306193,n554880,Apakah sweter itu terlihat terbuka dan berwarna biru?,yes,no,logical,"Yes, the sweater is open and blue."
20183468,n151768,Apakah jaket itu berlengan panjang dan berwarna hitam?,yes,yes,logical,"Yes, the jacket is long sleeved and black."
20753400,n49438,Apakah terdapat tempat tidur di samping stopkontak kecil tersebut?,yes,yes,verify,"Yes, there is a bed next to the outlet."
20151723,n313060,Di sisi mana dari gambar terdapat tas kulit ?,right,left,query,The purse is on the right of the image.
202218839,n578564,Apa nama alat masak yang tergantung di pengait?,pan,coffee pot,query,The cooking utensil is a pan.
20982539,n52544,Di mana orang kurus itu berdiri?,table,doorway,query,The woman is standing at the table.
201110833,n546616,Apakah piring-piring tersebut terletak di atas sandaran kaki?,no,yes,verify,"No, the plates are on top of the table."
20866249,n579256,Apakah lemari pembeku yang terdapat di dekat dinding berukuran kecil atau besar?,large,small,choose,The fridge is large.
201110525,n546616,Jenis makanan apa yang terdapat di sebelah kiri bayi yang duduk di atas wanita itu?,marshmallow,dessert,query,The food is a marshmallow.
201497576,n315887,Apakah ponsel dan cangkir kopi itu mempunyai warna yang sama?,yes,no,compare,"Yes, both the phone and the coffee cup are black."
20866242,n579256,Apakah terdapat lemari es atau microwave yang kecil di dalam gambar?,no,no,logical,"No, there is a refrigerator but it is large."
201079954,n23181,Di sekitar apakah gorden tersebut berada?,window,window,query,The draperies are around the window.
201548894,n314171,Di sisi manakah terdapat gambar itu?,left,left,query,The picture is on the left of the image.
201573912,n115614,Apa bahan penyeberangan yang terletak di depan toko tersebut?,concrete,brick,query,The crosswalk is made of cement.
202243820,n296467,Seberapa besar taburan yang ditaburkan di atas cupcake?,small,small,query,The sprinkles are small.
201573918,n115614,Terbuat dari jenis bahan apa penyeberangan yang terletak di dekat lampu jalan?,concrete,metal,query,The crosswalk is made of cement.
201974972,n274905,Jenis pakaian apa yang berwarna merah muda?,tank top,outfit,query,The clothing is a tank top.
201974971,n274905,Apa nama pakaian yang berwarna merah muda tersebut,tank top,outfit,query,The clothing item is a tank top.
201974976,n274905,Jenis pakaian apa yang tidak berwarna merah muda?,hat,skirt,query,The clothing is a hat.
201996743,n250715,Apakah helikopter ini hidup atau mati?,off,sleeping,choose,The helicopter is off.
20797666,n16656,Apakah kamu melihat ada kucing?,yes,yes,verify,"Yes, there is a cat."
20797665,n16656,Apakah sepatu itu di belakang seekor anjing?,no,no,verify,"No, the shoe is behind a cat."
201974979,n274905,Pakaian seperti apa yang tidak berlengan?,tank top,pants,query,The clothing is a tank top.
201156138,n146522,Apakah lapangan itu lembut dan bersalju?,no,no,logical,"No, the field is soft but grassy."
201765651,n488874,Apa warna baju tersebut?,white,blue,query,The shirt is white.
2046473,n71728,Apakah pria yang bahagia terdapat di sebelah kiri atau di sebelah kanan dari wanita yang berada di tengah?,right,left,choose,The man is to the right of the woman.
20618932,n126087,Siapa yang memakai gelang?,woman,girl,query,The woman is wearing a wristband.
201902515,n435808,Di sisi manakah terletak ruter?,left,left,query,The router is on the left of the image.
201303404,n518912,Apa warna celana-celana itu ?,gray,gray,query,The pants are gray.
20942157,n137182,Siapa yang memakai kemeja itu?,girl,woman,query,The girl is wearing a shirt.
20942156,n137182,Siapa yang memakai kemeja?,girl,woman,query,The girl is wearing a shirt.
20898685,n243701,Apa yang dilakukan pria itu?,standing,talking,query,The man is standing.
202116974,n48494,Adakah sungai atau lautan yang tidak tenang?,no,no,logical,"No, there is a river but it is calm."
202244099,n296467,Makanan apa yang tidak dipanggang?,cookies,carrot,query,The food is cookies.
201951771,n256120,Jenis kendaraan apa yang terdapat di depan bendera?,van,van,query,The vehicle is a van.
201951770,n256120,Kendaraan apa yang terdapat di depan bendera?,van,van,query,The vehicle is a van.
201951776,n256120,Apakah van itu terletak di depan balon?,no,yes,verify,"No, the van is in front of a flag."
201623784,n501609,Apakah lemari-lemari yang terletak di bawah kompor tersebut terbuat dari kayu dan terbuka?,no,yes,logical,"No, the cabinets are wooden but closed."
202023424,n95313,Apa nama furnitur yang bermotif kotak-kotak tersebut?,bed,bookshelf,query,The piece of furniture is a bed.
20182936,n151768,Apakah kotak-kotak yang terdapat di sebelah kanan pria itu penuh dan berbentuk persegi?,yes,no,logical,"Yes, the boxes are full and square."
201654344,n6309,Apakah kuda yang berada di samping kuda lainnya adalah bayi dan berwarna coklat?,no,yes,logical,"No, the horse is brown but adult."
20746468,n477215,Apakah sungai tersebut lebar atau sempit?,narrow,narrow,choose,The river is narrow.
201428996,n64959,Alat apa yang lebih besar dari lemari es?,stove,pan,query,The fridge is bigger than the stove.
202244009,n296467,Apa yang ada di dalam mangkuk yang berada di sebelah kanan kacang?,cookies,carrot,query,The cookies are inside the bowl.
20287556,n317260,"Menurut Anda, seberapa bersihkah masker wajah yang dikenakan oleh penangkap tersebut?",clean,tinted,query,The face mask is clean.
20631973,n570181,Dimanakah penangkap tersebut sedang berdiri?,field,field,query,The catcher is standing on the field.
20287551,n317260,Apa warna sarung tangan tersebut?,black,black,query,The glove is black.
201481824,n470920,Apakah selimut itu terlihat lembut dan putih?,yes,yes,logical,"Yes, the blanket is soft and white."
201663656,n35676,Apa warna laci-laci tersebut?,light brown,tan,query,The drawers are light brown.
20308576,n278312,Apakah terdapat lemari es di sebelah kiri kompor?,yes,yes,verify,"Yes, there is a refrigerator to the left of the stove."
201065067,n88933,Jenis pakaian apakah yang berwarna cerah?,gown,dress,query,The clothing is a gown.
20462070,n571179,Apakah terdapat gajah di dekat orang yang memakai mantel?,no,no,verify,"No, there is a woman near the man."
20462076,n571179,Apa yang wanita itu kenakan?,gloves,hat,query,The woman is wearing gloves.
20462075,n571179,Menurut Anda apa yang dikenakan oleh orang yang berdiri di dekat pria itu?,gloves,hat,query,The woman is wearing gloves.
201065062,n88933,Jenis pakaian apa yang berwarna merah muda?,gown,dress,query,The clothing is a gown.
20754631,n566028,Di atas apakah orang tersebut sedang duduk?,stairs,stairs,query,The person is sitting atop the stairs.
201935960,n500209,Apa yang berdiri di lantai?,shelf,book,query,The shelf is standing on the floor.
20412222,n531359,Furnitur apa yang terdapat di sebelah kiri anak laki-laki itu?,tables,chair,query,The pieces of furniture are tables.
201935966,n500209,Apa yang ada di depan tembok yang tidak pendek?,shelf,bookshelf,query,The shelf is in front of the wall.
20878946,n259949,Berapa luas tempat parkir yang terbuat dari semen?,wide,large,query,The parking lot is wide.
201498767,n315887,Perangkat apa yang terdapat di depan komputer berlayar datar tersebut?,phone,ipod,query,The device is a phone.
20306764,n554880,Apa yang terdapat di lantai?,gift,snow,query,The gift is sitting on the floor.
202144708,n37274,Apakah terdapat blender di sebelah kanan minuman yang berwarna kuning?,yes,yes,verify,"Yes, there is a blender to the right of the liquor."
20306767,n554880,Apakah hadiah itu tergeletak di lantai?,yes,yes,verify,"Yes, the gift is sitting on the floor."
201996815,n250715,"Bahan apa yang membuat kaca mata bundar tersebut, kaca atau kawat?",glass,glass,choose,The glasses are made of glass.
201996813,n250715,Terbuat dari apakah kacamata tersebut?,glass,plastic,query,The glasses are made of glass.
