id,imageId,question,gold_answer,cclm_answer,xgqa_type,fullAnswer
201307251,n161313,Ist es bewölkt?,no,no,verify,"No, it is clear."
201303229,n518912,Wie hoch ist der Stuhl unten auf dem Foto?,short,tall,query,The chair is short.
201902997,n435808,Was für ein Gerät steht auf dem Schreibtisch?,keyboard,keyboard,query,The device is a keyboard.
20567512,n414992,Worüber fliegt das Flugzeug?,ocean,sky,query,The plane is flying above the ocean.
20136592,n446242,Welche Farbe hat die Hose?,red,red,query,The pants are red.
20602803,n168412,Ist der Boden blau oder braun?,brown,brown,choose,The ground is brown.
201079951,n23181,Was ist um das offene Fenster herum?,drapes,frame,query,The draperies are around the window.
201079952,n23181,Was ist um das Fenster herum?,drapes,frame,query,The draperies are around the window.
20982537,n52544,Wer steht am Tisch?,woman,woman,query,The woman is standing at the table.
201079958,n23181,Sind rechts vom Bett Vorhänge?,yes,yes,verify,"Yes, there are drapes to the right of the bed."
202218649,n578564,Was hängt über der Kreidetafel?,picture,picture,query,The picture is hanging above the chalkboard.
20609782,n437064,Ist der Kuchen auf einer Platte?,no,no,verify,"No, the cake is on a plate."
201757757,n4777,Trägt die Person rechts von der Tasse Jeans?,yes,jeans,verify,"Yes, the person is wearing jeans."
201902993,n435808,Welches Gerät sitzt neben dem Mauspad?,keyboard,keyboard,query,The device is a keyboard.
20306193,n554880,Sieht der Pullover offen und blau aus?,yes,yes,logical,"Yes, the sweater is open and blue."
20183468,n151768,Ist die Jacke langärmelig und schwarz?,yes,yes,logical,"Yes, the jacket is long sleeved and black."
20753400,n49438,Gibt es Betten neben der kleinen Steckdose?,yes,yes,verify,"Yes, there is a bed next to the outlet."
20151723,n313060,Auf welcher Seite des Bildes befindet sich die Ledertasche?,right,left,query,The purse is on the right of the image.
202218839,n578564,"Wie heißt das Kochgeschirr, das am Haken hängt?",pan,pan,query,The cooking utensil is a pan.
20982539,n52544,Wo steht die dünne Person?,table,table,query,The woman is standing at the table.
201110833,n546616,Befinden sich die Teller auf einer Ottomane?,no,no,verify,"No, the plates are on top of the table."
20866249,n579256,Ist die Gefriertruhe in der Nähe der Wand klein oder groß?,large,large,choose,The fridge is large.
201110525,n546616,"Welche Art von Essen befindet sich links neben dem Baby, das auf der Frau sitzt?",marshmallow,dessert,query,The food is a marshmallow.
201497576,n315887,Haben sowohl das Telefon als auch die Kaffeetasse die gleiche Farbe?,yes,no,compare,"Yes, both the phone and the coffee cup are black."
20866242,n579256,Sind auf dem Bild  kleine Kühlschränke oder Mikrowellen zu sehen?,no,no,logical,"No, there is a refrigerator but it is large."
201079954,n23181,Worum befinden sich die Vorhänge?,window,bedroom,query,The draperies are around the window.
201548894,n314171,Auf welcher Seite ist das Bild?,left,left,query,The picture is on the left of the image.
201573912,n115614,Aus welchem Material besteht der Zebrastreifen vor den Geschäften?,concrete,metal,query,The crosswalk is made of cement.
202243820,n296467,"Wie groß sind die Streusel, die auf die Cupcakes gestreut werden?",small,small,query,The sprinkles are small.
201573918,n115614,Aus welchem Material besteht der Zebrastreifen in der Nähe der Straßenlaterne?,concrete,metal,query,The crosswalk is made of cement.
201974972,n274905,Welche Art von Kleidung ist rosa?,tank top,outfit,query,The clothing is a tank top.
201974971,n274905,Wie wird das rosa Kleidungsstück genannt?,tank top,outfit,query,The clothing item is a tank top.
201974976,n274905,Welche Art von Kleidung ist nicht rosa?,hat,cap,query,The clothing is a hat.
201996743,n250715,Ist dieser Hubschrauber an oder aus?,off,on,choose,The helicopter is off.
20797666,n16656,Sehen Sie irgendwelche Katzen?,yes,yes,verify,"Yes, there is a cat."
20797665,n16656,Ist dieser Schuh hinter einem Hund?,no,no,verify,"No, the shoe is behind a cat."
201974979,n274905,Welche Art von Kleidung ist ärmellos?,tank top,skirt,query,The clothing is a tank top.
201156138,n146522,Ist das Feld weich und schneebedeckt?,no,no,logical,"No, the field is soft but grassy."
201765651,n488874,Welche Farbe hat das Hemd?,white,white,query,The shirt is white.
2046473,n71728,Ist der glückliche Mann links oder rechts von der Frau in der Mitte?,right,left,choose,The man is to the right of the woman.
