id,imageId,question,gold_answer,cclm_answer,xgqa_type,fullAnswer
2012597,n318370,What do the bottle and the drink have in common?,material,color,compare,"The material, both the bottle and the drink are plastic."
2012660,n318370,Does the person next to the sign look female and Caucasian?,yes,no,logical,"Yes, the person is female and caucasian."
2012678,n318370,Is the person next to the sign wearing a helmet?,no,no,verify,"No, the person is wearing an earring."
2012681,n318370,What is the person next to the sign eating?,donut,donut,query,The person is eating a donut.
2012682,n318370,What type of baked good is the person to the right of the bottle eating?,donut,donut,query,The person is eating a donut.
2012702,n318370,Is the female person to the left of a bottle?,no,no,verify,"No, the person is to the right of a bottle."
2012711,n318370,What gender is the sitting person next to the bottle?,male,male,query,The person is male.
2012725,n318370,Does the male person appear to be sitting?,yes,yes,verify,"Yes, the person is sitting."
2012742,n318370,The person near the drink is wearing what?,shirt,shirt,query,The person is wearing a shirt.
2012745,n318370,What does the person next to the drink hold?,donut,donut,query,The person holds the donut.
2012746,n318370,What is the food that the person next to the bottle holds?,donut,donut,query,The food is a donut.
2012752,n318370,Are there any donuts?,yes,yes,verify,"Yes, there is a donut."
2012777,n318370,How big is the donut the person holds?,small,large,query,The doughnut is small.
2012787,n318370,Is the doughnut which is to the left of the person large and round?,no,yes,logical,"No, the donut is round but small."
2012820,n318370,What size is the doughnut the person is eating?,small,large,query,The donut is small.
2012828,n318370,Are the glasses on the right side?,yes,yes,verify,"Yes, the glasses are on the right of the image."
2012834,n318370,Do the plastic glasses have dark color?,yes,yes,verify,"Yes, the glasses are dark."
2012848,n318370,Does the white shirt look sleeveless?,yes,no,verify,"Yes, the shirt is sleeveless."
2012880,n318370,What makes up the drink to the left of the bottle?,plastic,glass,query,The drink is made of plastic.
2012881,n318370,What is the drink made of?,plastic,plastic,query,The drink is made of plastic.
2012936,n318370,Is the bottle in the bottom?,yes,yes,verify,"Yes, the bottle is in the bottom of the image."
2012983,n318370,Does the bottle near the drink look white and closed?,no,no,logical,"No, the bottle is closed but red."
2012995,n318370,Is the bottle near the person open or closed?,closed,open,choose,The bottle is closed.
2013003,n318370,What's the bottle made of?,plastic,plastic,query,The bottle is made of plastic.
2013048,n318370,Is the bottle to the right of the person next to the windows?,no,no,verify,"No, the bottle is to the left of the person."
2017054,n324908,What place could this be?,pasture,pasture,query,It is a pasture.
2017055,n324908,Which place is it?,pasture,field,query,It is a pasture.
2017057,n324908,Are these animals of different species?,yes,yes,compare,"Yes, they are horses and goats."
2017073,n324908,Is the snow bright and white?,yes,yes,logical,"Yes, the snow is bright and white."
2017079,n324908,What is resting on the mountains?,snow,snow,query,The snow is resting on the mountains.
2017081,n324908,The snow is resting on what?,mountains,mountains,query,The snow is resting on the mountains.
2017082,n324908,What is the snow resting on?,mountains,mountains,query,The snow is resting on the mountains.
2017102,n324908,Are there any sheep or goats that are not brown?,no,no,logical,"No, there is a goat but it is brown."
2017111,n324908,Does the goat to the right of the horse look white?,no,yes,verify,"No, the goat is brown."
2017157,n324908,Is the pasture dry or wet?,dry,dry,choose,The pasture is dry.
2017167,n324908,Does the pasture seem to be tall?,no,no,verify,"No, the pasture is short."
2017176,n324908,Is the dry pasture grassy and tall?,no,no,logical,"No, the pasture is grassy but short."
2017182,n324908,What is larger than the animal that is walking?,pasture,cow,query,The pasture is larger than the horse.
2017189,n324908,"What is the dry pasture larger than, a pig or a horse?",horse,horse,choose,The pasture is larger than a horse.
2017190,n324908,"Which is larger, the pasture or the horse?",pasture,horse,compare,The pasture is larger than the horse.
2017193,n324908,Is the dry pasture larger than a zebra?,no,no,verify,"No, the pasture is larger than a horse."
2017200,n324908,Is the short hair thick and black?,yes,yes,logical,"Yes, the hair is thick and black."
2017205,n324908,How thick is the hair?,thick,thick,query,The hair is thick.
2017224,n324908,How long do you think is the black hair?,short,short,query,The hair is short.
2017235,n324908,What color is the hair?,black,dark,query,The hair is black.
2017241,n324908,Is the hair above a zebra?,no,no,verify,"No, the hair is above a horse."
2017243,n324908,What's smaller than the shirt?,hair,rope,query,The hair is smaller than the shirt.
2017244,n324908,What is the hair smaller than?,shirt,no,query,The hair is smaller than the shirt.
2017250,n324908,Is the shirt bright and black and white?,no,yes,logical,"No, the shirt is bright but colorful."
2017261,n324908,Is the shirt black and white or colorful?,colorful,black and white,choose,The shirt is colorful.
2017267,n324908,What color does the shirt above the pants have?,red,red,query,The shirt has red color.
2017287,n324908,Does the long tail look bushy and black?,yes,yes,logical,"Yes, the tail is bushy and black."
2017333,n324908,Which kind of animal is large?,horse,horse,query,The animal is a horse.
2017336,n324908,"What kind of animal is not large, the horse or the goat?",goat,goat,choose,The goat is not large.
2017338,n324908,Which kind of animal isn't large?,goat,dog,query,The animal is a goat.
2017344,n324908,What animal is walking?,horse,horse,query,The animal is a horse.
2017348,n324908,What animal is not walking?,goat,dog,query,The animal is a goat.
2017402,n324908,"Which color is the horse, dark brown or tan?",dark brown,dark brown,choose,The horse is dark brown.
2017416,n324908,Are there horses or zebras that are running?,no,no,logical,"No, there is a horse but it is walking."
2017430,n324908,Where is the horse below the hair standing?,pasture,field,query,The horse is standing in the pasture.
2017433,n324908,Where is the horse standing?,pasture,field,query,The horse is standing in the pasture.
2017435,n324908,What is the animal to the left of the brown animal?,horse,goat,query,The animal is a horse.
2017448,n324908,Is that horse to the left of a lamb?,no,no,verify,"No, the horse is to the left of the goat."
2017449,n324908,What animal is walking near the goat that looks brown?,horse,horse,query,The horse is walking near the goat.
2017455,n324908,What animal is the horse below the hair walking by?,goat,dog,query,The horse is walking by the goat.
2017461,n324908,What animal is the horse walking by?,goat,dog,query,The horse is walking by the goat.
2017472,n324908,What is the animal below the hair?,horse,horse,query,The animal is a horse.
2017479,n324908,What animal is walking across the pasture?,horse,dog,query,The horse is walking across the pasture.
2017480,n324908,What type of animal is walking across the grassy pasture?,horse,dog,query,The animal is a horse.
2017493,n324908,What's higher than the mountains?,sky,water,query,The sky is higher than the mountains.
2017494,n324908,What is the light blue sky higher than?,mountains,mountain,query,The sky is higher than the mountains.
2017495,n324908,What's the sky higher than?,mountains,mountain,query,The sky is higher than the mountains.
2017506,n324908,What do you think are the mountains that are not narrow higher than?,pasture,water,query,The mountains are higher than the pasture.
2044425,n184551,Does the umbrella have the same color as the bag?,yes,yes,compare,"Yes, both the umbrella and the bag are blue."
2044442,n184551,Does the jacket have gray color and long length?,yes,yes,logical,"Yes, the jacket is gray and long."
2044447,n184551,What do you think is the color of the jacket?,gray,tan,query,The jacket is gray.
2044506,n184551,What's the man doing?,reading,standing,query,The man is reading.
2044513,n184551,Does the person next to the woman appear to be sleeping or reading?,reading,sleeping,choose,The man is reading.
2044518,n184551,Who is wearing shoes?,man,woman,query,The man is wearing shoes.
2044527,n184551,Is there a fence near the building?,no,no,verify,"No, there is a man near the building."
2044572,n184551,What is the man covered by?,umbrella,umbrella,query,The man is covered by the umbrella.
2044576,n184551,Is the person to the left of the bag covered by an umbrella?,yes,yes,verify,"Yes, the man is covered by an umbrella."
2044578,n184551,Who is on the steps?,man,people,query,The man is on the steps.
2044579,n184551,What is the man on?,steps,stairs,query,The man is on the steps.
2044581,n184551,What's the man on?,steps,stairs,query,The man is on the steps.
2044613,n184551,What color are the long pants?,khaki,tan,query,The pants are khaki.
