id,imageId,question,gold_answer,cclm_answer,xgqa_type,fullAnswer
2012597,n318370,বোতল এবং পানীয়ের মধ্যে কী মিল আছে?,material,color,compare,"The material, both the bottle and the drink are plastic."
2012660,n318370,সাইন এর পাশের ব্যক্তিটি কি দেখতে মহিলা এবং ককেশীয়?,yes,no,logical,"Yes, the person is female and caucasian."
2012678,n318370,সাইনের পাশের ব্যক্তিটি কি একটি হেলমেট পরে রয়েছে?,no,no,verify,"No, the person is wearing an earring."
2012681,n318370,সাইনের পাশের ব্যক্তিটি কী খাচ্ছে?,donut,donut,query,The person is eating a donut.
2012682,n318370,বোতলের ডানপাশে থাকা ব্যক্তিটি কোন ধরণের বেকড খাবার খাচ্ছেন?,donut,donut,query,The person is eating a donut.
2012702,n318370,মহিলা ব্যক্তিটি কি একটি বোতলের বামে?,no,no,verify,"No, the person is to the right of a bottle."
2012711,n318370,বোতলের পাশে বসে থাকা ব্যক্তিটি কী লিঙ্গের?,male,male,query,The person is male.
2012725,n318370,পুরুষ ব্যক্তিটি কি বসে আছেন বলে মনে হয়?,yes,chair,verify,"Yes, the person is sitting."
2012742,n318370,পানীয়টির কাছে থাকা ব্যক্তিটি কী পরে রয়েছেন?,shirt,eye glasses,query,The person is wearing a shirt.
2012745,n318370,পানীয়টির পাশের লোকটি কী ধরে আছে?,donut,donut,query,The person holds the donut.
2012746,n318370,বোতলের পাশের লোকটি কী খাবার ধরে আছে?,donut,donut,query,The food is a donut.
2012752,n318370,কোনো ডোনাট আছে কি?,yes,no,verify,"Yes, there is a donut."
2012777,n318370,ব্যক্তিটি যে ডোনাটটি ধরে আছে সেটি কত বড়?,small,large,query,The doughnut is small.
2012787,n318370,লোকটির বামে থাকা ডোনাটটি কি বড় এবং বৃত্তাকার?,no,large,logical,"No, the donut is round but small."
2012820,n318370,লোকটি যে ডোনাটটি খাচ্ছেন সেটি কী আকারের?,small,large,query,The donut is small.
2012828,n318370,চশমা কি ডানপাশে?,yes,no,verify,"Yes, the glasses are on the right of the image."
2012834,n318370,প্লাস্টিকের চশমা কি গাড় রঙের?,yes,brown,verify,"Yes, the glasses are dark."
2012848,n318370,সাদা শার্টটি কি দেখতে হাতাকাটা?,yes,burger,verify,"Yes, the shirt is sleeveless."
2012880,n318370,বোতলের বামপাশের পানীয়টি কী দিয়ে তৈরি?,plastic,glass,query,The drink is made of plastic.
2012881,n318370,পানীয়টি কী দিয়ে তৈরি?,plastic,glass,query,The drink is made of plastic.
2012936,n318370,বোতলটি কি নিচে?,yes,bottom,verify,"Yes, the bottle is in the bottom of the image."
2012983,n318370,পানীয়টির কাছের বোতলটি কি সাদা এবং বন্ধ দেখাচ্ছে?,no,no,logical,"No, the bottle is closed but red."
2012995,n318370,লোকটির কাছের বোতলটি কি খোলা নাকি বন্ধ?,closed,open,choose,The bottle is closed.
2013003,n318370,বোতলটি কী দিয়ে তৈরি?,plastic,plastic,query,The bottle is made of plastic.
2013048,n318370,বোতলটি কি জানালাগুলির পাশের ব্যক্তিটির ডানে?,no,bottles,verify,"No, the bottle is to the left of the person."
2017054,n324908,এটি কোন জায়গা হতে পারে?,pasture,pasture,query,It is a pasture.
2017055,n324908,এটি কোন জায়গা?,pasture,pasture,query,It is a pasture.
2017057,n324908,এই প্রাণীগুলি কি বিভিন্ন প্রজাতির?,yes,horses,compare,"Yes, they are horses and goats."
2017073,n324908,তুষার কি উজ্জ্বল এবং সাদা?,yes,mountain,logical,"Yes, the snow is bright and white."
2017079,n324908,পর্বতে কী বিশ্রাম নিচ্ছে?,snow,cowboy hat,query,The snow is resting on the mountains.
2017081,n324908,তুষার কিসের উপরে রয়েছে?,mountains,mountains,query,The snow is resting on the mountains.
2017082,n324908,তুুষার কিসের উপরে রয়েছে?,mountains,mountain,query,The snow is resting on the mountains.
2017102,n324908,এমন কি কোনো ভেড়া বা ছাগল আছে যেগুলি বাদামি নয়?,no,no,logical,"No, there is a goat but it is brown."
2017111,n324908,ঘোড়ার ডানপাশের ছাগলটি কি সাদা দেখায়?,no,white,verify,"No, the goat is brown."
2017157,n324908,চারণভূমি কি শুকনো নাকি ভেজা?,dry,dried,choose,The pasture is dry.
2017167,n324908,চারণভূমি কি লম্বা বলে মনে হচ্ছে?,no,short,verify,"No, the pasture is short."
2017176,n324908,শুকনো চারণভূমি কি ঘাসযুক্ত এবং লম্বা?,no,short,logical,"No, the pasture is grassy but short."
2017182,n324908,যে প্রাণীটি হাঁটছে তার চেয়ে বড় কী?,pasture,small,query,The pasture is larger than the horse.
2017189,n324908,"শুকনো চারণভূমিটি কিসের চেয়ে বড়, একটি শূকর নাকি ঘোড়া?",horse,horse,choose,The pasture is larger than a horse.
2017190,n324908,"কোনটি বড়, চারণভূমি নাকি ঘোড়া?",pasture,horse,compare,The pasture is larger than the horse.
2017193,n324908,শুকনো চারণভূমিটি কি জেব্রার চেয়ে বড়?,no,large,verify,"No, the pasture is larger than a horse."
2017200,n324908,ছোট চুল কি ঘন এবং কালো?,yes,no,logical,"Yes, the hair is thick and black."
2017205,n324908,চুল কতটা ঘন?,thick,short,query,The hair is thick.
2017224,n324908,কালো চুল কতটা লম্বা বলে আপনি মনে করেন?,short,short,query,The hair is short.
2017235,n324908,চুলের রঙ কী?,black,black,query,The hair is black.
