id,imageId,question,gold_answer,cclm_answer,xgqa_type,fullAnswer
201307251,n161313,Está nublado?,no,no,verify,"No, it is clear."
201303229,n518912,Qual é a altura da cadeira na parte inferior da foto?,short,tall,query,The chair is short.
201902997,n435808,Que tipo de dispositivo está em cima da mesa?,keyboard,keyboard,query,The device is a keyboard.
20567512,n414992,Qual é o avião voando acima?,ocean,water,query,The plane is flying above the ocean.
20136592,n446242,Qual é a cor das calças?,red,red,query,The pants are red.
20602803,n168412,O chão é azul ou marrom?,brown,blue,choose,The ground is brown.
201079951,n23181,O que está ao redor da janela aberta?,drapes,frame,query,The draperies are around the window.
201079952,n23181,O que há ao redor da janela?,drapes,frame,query,The draperies are around the window.
20982537,n52544,Quem está à mesa?,woman,woman,query,The woman is standing at the table.
201079958,n23181,Há cortinas à direita da cama?,yes,yes,verify,"Yes, there are drapes to the right of the bed."
202218649,n578564,O que está pendurado acima do quadro-negro?,picture,picture,query,The picture is hanging above the chalkboard.
20609782,n437064,O bolo está em uma travessa?,no,utensil,verify,"No, the cake is on a plate."
201757757,n4777,A pessoa à direita do copo está usando jeans?,yes,jeans,verify,"Yes, the person is wearing jeans."
201902993,n435808,Qual dispositivo está ao lado do mouse pad?,keyboard,keyboard,query,The device is a keyboard.
20306193,n554880,O suéter parece aberto e azul?,yes,blue,logical,"Yes, the sweater is open and blue."
20183468,n151768,O casaco é de manga comprida e preto?,yes,black,logical,"Yes, the jacket is long sleeved and black."
20753400,n49438,Há camas ao lado da pequena tomada?,yes,yes,verify,"Yes, there is a bed next to the outlet."
20151723,n313060,Em que lado da foto está a bolsa de couro?,right,left,query,The purse is on the right of the image.
202218839,n578564,Qual é o nome do utensílio de cozinha que fica pendurado no gancho?,pan,cutting board,query,The cooking utensil is a pan.
20982539,n52544,Onde está a pessoa magricela?,table,table,query,The woman is standing at the table.
201110833,n546616,Os pratos estão em cima de um pufe?,no,no,verify,"No, the plates are on top of the table."
20866249,n579256,O freezer perto da parede é pequeno ou grande?,large,large,choose,The fridge is large.
201110525,n546616,Que tipo de comida está à esquerda do bebê que está sentado em cima da mulher?,marshmallow,dessert,query,The food is a marshmallow.
201497576,n315887,O telefone e a xícara de café são da mesma cor?,yes,no,compare,"Yes, both the phone and the coffee cup are black."
20866242,n579256,Há pequenos refrigeradores ou microondas na foto?,no,no,logical,"No, there is a refrigerator but it is large."
201079954,n23181,Do que são feitas as cortinas?,window,wood,query,The draperies are around the window.
201548894,n314171,De que lado está a imagem?,left,left,query,The picture is on the left of the image.
201573912,n115614,Qual é o material da faixa de pedestres em frente às lojas?,concrete,concrete,query,The crosswalk is made of cement.
202243820,n296467,Qual é o tamanho dos granulados que são espalhados nos cupcakes?,small,small,query,The sprinkles are small.
201573918,n115614,De que tipo de material é feita a faixa de pedestres próxima ao poste de luz?,concrete,metal,query,The crosswalk is made of cement.
201974972,n274905,Que tipo de roupa é rosa?,tank top,outfit,query,The clothing is a tank top.
201974971,n274905,Como se chama a peça de roupa rosa?,tank top,outfit,query,The clothing item is a tank top.
201974976,n274905,Que tipo de roupa não é rosa?,hat,cap,query,The clothing is a hat.
201996743,n250715,Este helicóptero está ligado ou desligado?,off,wire,choose,The helicopter is off.
20797666,n16656,Você vê algum gato?,yes,yes,verify,"Yes, there is a cat."
20797665,n16656,Esse sapato está atrás de um cachorro?,no,no,verify,"No, the shoe is behind a cat."
201974979,n274905,Que tipo de roupa é sem mangas?,tank top,skirt,query,The clothing is a tank top.
201156138,n146522,O campo é macio e nevado?,no,no,logical,"No, the field is soft but grassy."
201765651,n488874,Qual é a cor da camisa?,white,white,query,The shirt is white.
2046473,n71728,O homem feliz está à esquerda ou à direita da mulher no centro?,right,left,choose,The man is to the right of the woman.
20618932,n126087,Quem está usando uma pulseira?,woman,girl,query,The woman is wearing a wristband.
201902515,n435808,De que lado está o roteador?,left,left,query,The router is on the left of the image.
201303404,n518912,Qual é a cor das calças?,gray,gray,query,The pants are gray.
20942157,n137182,Quem está vestindo a camisa?,girl,woman,query,The girl is wearing a shirt.
20942156,n137182,Quem está vestindo uma camisa?,girl,woman,query,The girl is wearing a shirt.
20898685,n243701,O que o homem está fazendo?,standing,talking,query,The man is standing.
202116974,n48494,Existem rios ou oceanos que não são calmos?,no,no,logical,"No, there is a river but it is calm."
202244099,n296467,Que comida não é assada?,cookies,carrot,query,The food is cookies.
201951771,n256120,Que tipo de veículo está na frente da bandeira?,van,van,query,The vehicle is a van.
201951770,n256120,Qual é o veículo que está na frente da bandeira?,van,van,query,The vehicle is a van.
201951776,n256120,A van está na frente de um balão?,no,flag,verify,"No, the van is in front of a flag."
201623784,n501609,Os armários abaixo do fogão são de madeira e estão abertos?,no,open,logical,"No, the cabinets are wooden but closed."
202023424,n95313,Como é chamado o móvel que é xadrez?,bed,television,query,The piece of furniture is a bed.
20182936,n151768,"As caixas, que estão à direita do homem, estão cheias e são quadradas?",yes,empty,logical,"Yes, the boxes are full and square."
201654344,n6309,O cavalo ao lado do outro cavalo é bebê e marrom?,no,white,logical,"No, the horse is brown but adult."
20746468,n477215,O rio é largo ou é estreito?,narrow,long,choose,The river is narrow.
201428996,n64959,Qual aparelho é maior que o refrigerador?,stove,microwave,query,The fridge is bigger than the stove.
202244009,n296467,O que está dentro da tigela à direita do feijão?,cookies,carrot,query,The cookies are inside the bowl.
20287556,n317260,Quão limpa você acha que está a máscara facial que o apanhador está usando?,clean,tinted,query,The face mask is clean.
20631973,n570181,Onde está o apanhador de pé?,field,field,query,The catcher is standing on the field.
20287551,n317260,Qual é a cor da luva?,black,black,query,The glove is black.
201481824,n470920,O cobertor parece macio e branco?,yes,white,logical,"Yes, the blanket is soft and white."
201663656,n35676,Qual a cor das gavetas?,light brown,brown,query,The drawers are light brown.
20308576,n278312,Há geladeiras à esquerda do fogão?,yes,yes,verify,"Yes, there is a refrigerator to the left of the stove."
201065067,n88933,Que tipo de roupa é brilhante?,gown,dress,query,The clothing is a gown.
20462070,n571179,Existe um elefante perto da pessoa que está vestindo um casaco?,no,no,verify,"No, there is a woman near the man."
20462076,n571179,O que a mulher está vestindo?,gloves,hat,query,The woman is wearing gloves.
20462075,n571179,O que você acha que a pessoa de pé perto do homem está vestindo?,gloves,coat,query,The woman is wearing gloves.
201065062,n88933,Que tipo de roupa é rosa?,gown,dress,query,The clothing is a gown.
20754631,n566028,Qual é a pessoa que está sentada em cima?,stairs,boy,query,The person is sitting atop the stairs.
