id,imageId,question,gold_answer,cclm_answer,xgqa_type,fullAnswer
201307251,n161313,Это пасмурная погода?,no,clear,verify,"No, it is clear."
201303229,n518912,Какого роста стул в нижней части фотографии?,short,tall,query,The chair is short.
201902997,n435808,Какое устройство находится на столе?,keyboard,computer mouse,query,The device is a keyboard.
20567512,n414992,Над чем пролетает самолет?,ocean,water,query,The plane is flying above the ocean.
20136592,n446242,Какого цвета брюки?,red,red,query,The pants are red.
20602803,n168412,Земля синяя или коричневая?,brown,brown,choose,The ground is brown.
201079951,n23181,Что вокруг открытого окна?,drapes,frame,query,The draperies are around the window.
201079952,n23181,Что за окном?,drapes,curtain,query,The draperies are around the window.
20982537,n52544,Кто стоит за столом?,woman,woman,query,The woman is standing at the table.
201079958,n23181,Справа от кровати есть занавески?,yes,yes,verify,"Yes, there are drapes to the right of the bed."
202218649,n578564,Что висит над доской?,picture,picture,query,The picture is hanging above the chalkboard.
20609782,n437064,Торт на блюдечке?,no,dessert,verify,"No, the cake is on a plate."
201757757,n4777,Человек справа от чашки в джинсах?,yes,yes,verify,"Yes, the person is wearing jeans."
201902993,n435808,Какое устройство находится рядом с ковриком для мыши?,keyboard,computer,query,The device is a keyboard.
20306193,n554880,Свитер выглядит открытым и синим?,yes,open,logical,"Yes, the sweater is open and blue."
20183468,n151768,Пиджак с длинными рукавами и черным?,yes,black,logical,"Yes, the jacket is long sleeved and black."
20753400,n49438,Есть ли кровати рядом с маленькой розеткой?,yes,yes,verify,"Yes, there is a bed next to the outlet."
20151723,n313060,На какой стороне фотографии кожаная сумка?,right,left,query,The purse is on the right of the image.
202218839,n578564,"Как называется кухонная утварь, которая висит на крючке?",pan,coffee pot,query,The cooking utensil is a pan.
20982539,n52544,Где стоит тощий человек?,table,table,query,The woman is standing at the table.
201110833,n546616,Тарелки на верхушке оттоманы?,no,counter,verify,"No, the plates are on top of the table."
20866249,n579256,Морозильник у стены маленький или большой?,large,large,choose,The fridge is large.
201110525,n546616,"Какая еда слева от ребенка, который сидит на женщине?",marshmallow,pie,query,The food is a marshmallow.
201497576,n315887,Телефон и кофейная чашка одного цвета?,yes,black,compare,"Yes, both the phone and the coffee cup are black."
20866242,n579256,Есть ли на картинке маленькие холодильники или микроволны?,no,no,logical,"No, there is a refrigerator but it is large."
201079954,n23181,Что это за шторы вокруг?,window,window,query,The draperies are around the window.
201548894,n314171,С какой стороны картинка?,left,left,query,The picture is on the left of the image.
201573912,n115614,Из какого материала сделан пешеходный переход перед магазинами?,concrete,brick,query,The crosswalk is made of cement.
202243820,n296467,"Насколько велики посыпки, которые посыпаются на кексы?",small,large,query,The sprinkles are small.
201573918,n115614,Из какого материала сделан пешеходный переход возле уличного фонаря?,concrete,concrete,query,The crosswalk is made of cement.
201974972,n274905,Какая одежда розового цвета?,tank top,outfit,query,The clothing is a tank top.
201974971,n274905,Как называется розовый предмет одежды?,tank top,outfit,query,The clothing item is a tank top.
201974976,n274905,Какая одежда не розовая?,hat,cap,query,The clothing is a hat.
201996743,n250715,Этот вертолет включен или выключен?,off,open,choose,The helicopter is off.
20797666,n16656,Ты видишь кошек?,yes,yes,verify,"Yes, there is a cat."
20797665,n16656,Это туфля за собакой?,no,no,verify,"No, the shoe is behind a cat."
201974979,n274905,Какая одежда без рукавов?,tank top,skirt,query,The clothing is a tank top.
201156138,n146522,Поле мягкое и снежное?,no,ground,logical,"No, the field is soft but grassy."
201765651,n488874,Какого цвета рубашка?,white,blue,query,The shirt is white.
2046473,n71728,Счастливый мужчина слева или справа от женщины в центре?,right,left,choose,The man is to the right of the woman.
20618932,n126087,Кто носит браслет?,woman,girl,query,The woman is wearing a wristband.
201902515,n435808,С какой стороны маршрутизатор?,left,left,query,The router is on the left of the image.
201303404,n518912,Какого цвета брюки?,gray,gray,query,The pants are gray.
20942157,n137182,Кто в рубашке?,girl,woman,query,The girl is wearing a shirt.
20942156,n137182,Кто в рубашке?,girl,woman,query,The girl is wearing a shirt.
20898685,n243701,Что он делает?,standing,talking,query,The man is standing.
202116974,n48494,"Есть ли реки или океаны, которые не спокойны?",no,no,logical,"No, there is a river but it is calm."
202244099,n296467,Какая еда не запечена?,cookies,tomato,query,The food is cookies.
201951771,n256120,Какое транспортное средство перед флагом?,van,van,query,The vehicle is a van.
201951770,n256120,Какое транспортное средство перед флагом?,van,van,query,The vehicle is a van.
201951776,n256120,Фургон перед шариком?,no,van,verify,"No, the van is in front of a flag."
201623784,n501609,Шкафы под плитой деревянные и открытые?,no,cabinets,logical,"No, the cabinets are wooden but closed."
202023424,n95313,Как называется предмет мебели в клетку?,bed,chair,query,The piece of furniture is a bed.
20182936,n151768,Коробки справа от человека полные и квадратные?,yes,empty,logical,"Yes, the boxes are full and square."
201654344,n6309,"Лошадь рядом с другой лошадью и детская, и коричневая?",no,brown,logical,"No, the horse is brown but adult."
20746468,n477215,Река широкая или узкая?,narrow,narrow,choose,The river is narrow.
201428996,n64959,Какой холодильник больше по размеру?,stove,refrigerator,query,The fridge is bigger than the stove.
202244009,n296467,Что внутри чаши справа от бобов?,cookies,rice,query,The cookies are inside the bowl.
20287556,n317260,"Как думаешь, насколько чиста маска для лица, которую носит ловец?",clean,tinted,query,The face mask is clean.
20631973,n570181,Где стоит кэтчер?,field,field,query,The catcher is standing on the field.
20287551,n317260,Какого цвета перчатка?,black,black,query,The glove is black.
201481824,n470920,Одеяло выглядит мягким и белым?,yes,shirt,logical,"Yes, the blanket is soft and white."
201663656,n35676,Какого цвета ящики?,light brown,brown,query,The drawers are light brown.
20308576,n278312,Слева от плиты есть холодильники?,yes,yes,verify,"Yes, there is a refrigerator to the left of the stove."
201065067,n88933,Какая одежда яркая?,gown,dress,query,The clothing is a gown.
20462070,n571179,Рядом с человеком в пальто есть слон?,no,no,verify,"No, there is a woman near the man."
20462076,n571179,Что это за женщина?,gloves,snow,query,The woman is wearing gloves.
20462075,n571179,"Как ты думаешь, что это за стоящий человек рядом с мужчиной в одежде?",gloves,skiing,query,The woman is wearing gloves.
201065062,n88933,Какой тип одежды розовый?,gown,dress,query,The clothing is a gown.
20754631,n566028,"Что это за человек, который сидит сверху?",stairs,steps,query,The person is sitting atop the stairs.
201935960,n500209,Что стоит на полу?,shelf,book,query,The shelf is standing on the floor.
20412222,n531359,Какие предметы мебели слева от мальчика?,tables,tables,query,The pieces of furniture are tables.
201935966,n500209,Что перед стеной не короткое?,shelf,books,query,The shelf is in front of the wall.
20878946,n259949,Насколько широкая парковка сделана из цемента?,wide,wide,query,The parking lot is wide.
