id,imageId,question,gold_answer,cclm_answer,xgqa_type,fullAnswer
201307251,n161313,是阴天吗？,no,no,verify,"No, it is clear."
201303229,n518912,这张照片底部的椅子有多高？,short,tall,query,The chair is short.
201902997,n435808,桌子上面是什么设备？,keyboard,computer,query,The device is a keyboard.
20567512,n414992,上面飞的是什么飞机？,ocean,airplane,query,The plane is flying above the ocean.
20136592,n446242,这些裤子是什么颜色的？,red,red,query,The pants are red.
20602803,n168412,地面是蓝色还是棕色？,brown,brown,choose,The ground is brown.
201079951,n23181,那扇打开的窗户周围有什么？,drapes,frame,query,The draperies are around the window.
201079952,n23181,那扇窗户周围有什么？,drapes,frame,query,The draperies are around the window.
20982537,n52544,谁站在桌子旁？,woman,woman,query,The woman is standing at the table.
201079958,n23181,床的右边有窗帘吗？,yes,yes,verify,"Yes, there are drapes to the right of the bed."
202218649,n578564,黑板上面挂的是什么？,picture,picture,query,The picture is hanging above the chalkboard.
20609782,n437064,蛋糕是放在盘子上的吗？,no,yes,verify,"No, the cake is on a plate."
201757757,n4777,杯子右边的人是不是穿着牛仔裤？,yes,yes,verify,"Yes, the person is wearing jeans."
201902993,n435808,鼠标垫旁边的是什么设备？,keyboard,computer,query,The device is a keyboard.
20306193,n554880,这件毛衣看起来是不是没扣着，是不是蓝色的？,yes,no,logical,"Yes, the sweater is open and blue."
20183468,n151768,这件外套是长袖的，黑色的吗？,yes,yes,logical,"Yes, the jacket is long sleeved and black."
20753400,n49438,那个小插口边上有床吗？,yes,yes,verify,"Yes, there is a bed next to the outlet."
20151723,n313060,皮包在图片的哪一侧呀？,right,left,query,The purse is on the right of the image.
202218839,n578564,挂在钩子上的炊具叫什么名字？,pan,pot,query,The cooking utensil is a pan.
20982539,n52544,那个瘦子站在哪里？,table,floor,query,The woman is standing at the table.
201110833,n546616,那些盘子是放在一个箱式凳上面吗？,no,yes,verify,"No, the plates are on top of the table."
20866249,n579256,靠近墙壁的冰柜是小的还是大的？,large,large,choose,The fridge is large.
201110525,n546616,坐在女人身上的宝宝左边是什么类型的食物？,marshmallow,dessert,query,The food is a marshmallow.
